Start_Time,End_Time,Duration,Area,x_RRmax,y_RRmax,BDL_RRmax,LKS_RRmax,RRmax,RRmean,V3_RRmax,V3_MIN,V3_AVG,V3_MAX,V4_RRmax,V4_MIN,V4_AVG,V4_MAX
200102160150,200102160550,4,41,758,714,Brandenburg,Frankfurt (Oder),58.2,41.3,6,6,7.0,8,8,8,8.8,10
200102152350,200102160850,9,40,765,692,Brandenburg,Oder-Spree,91.3,60.1,8,7,7.3,8,9,8,8.8,10
200105032150,200105032250,1,17,647,745,Brandenburg,Havelland,31.9,26.1,3,3,3.8,4,7,7,7.2,8
200105032150,200105040050,3,14,654,793,Brandenburg,Oberhavel,35.0,30.1,6,6,6.2,7,11,10,10.7,12
200105151350,200105151450,1,49,728,751,Brandenburg,Märkisch-Oderland,35.2,27.6,3,2,2.9,3,7,7,7.7,9
200105151350,200105151550,2,14,718,840,Brandenburg,Uckermark,35.8,31.5,2,1,1.4,2,5,3,4.2,5
200105151550,200105151650,1,26,704,752,Brandenburg,Barnim,42.0,27.9,4,3,3.8,4,10,9,10.0,11
200105151450,200105151650,2,50,714,831,Brandenburg,Uckermark,66.2,42.6,1,1,1.7,2,4,4,4.8,6
200105151350,200105151650,3,12,694,748,Brandenburg,Barnim,43.4,36.2,3,3,3.8,4,9,9,9.3,10
200105151550,200105151750,2,25,717,640,Brandenburg,Elbe-Elster,43.7,32.7,1,1,1.2,2,4,4,4.1,5
200105311150,200105311250,1,15,656,674,Brandenburg,Teltow-Fläming,31.0,25.9,2,1,1.8,2,5,4,4.5,5
200105311050,200105311250,2,13,637,670,Brandenburg,Potsdam-Mittelmark,29.2,27.6,1,1,1.0,1,4,3,3.8,4
200105311350,200105311650,3,27,671,784,Brandenburg,Oberhavel,40.6,31.1,4,3,3.6,4,7,5,6.9,8
200105311250,200105311650,4,47,785,640,Brandenburg,Spree-Neiße,45.0,38.2,2,1,2.0,3,5,3,4.5,6
200105311550,200105311750,2,35,721,792,Brandenburg,Uckermark,46.4,35.9,4,3,4.3,5,8,7,8.1,9
200105311450,200105311750,3,10,695,822,Brandenburg,Uckermark,37.1,34.8,6,6,6.8,8,10,9,10.8,13
200105311450,200105311750,3,18,691,831,Brandenburg,Uckermark,38.5,34.8,6,6,6.7,7,11,10,11.1,12
200105311350,200105311750,4,33,668,800,Brandenburg,Oberhavel,46.2,35.6,2,2,2.4,3,5,4,5.0,6
200105311450,200105311850,4,18,706,837,Brandenburg,Uckermark,40.8,38.6,5,5,5.4,6,11,10,10.6,11
200106170850,200106171050,2,22,654,706,Brandenburg,Potsdam-Mittelmark,41.7,31.9,5,5,5.5,6,13,12,13.4,15
200106171050,200106171150,1,15,681,810,Brandenburg,Uckermark,44.6,29.8,13,12,12.8,13,26,24,25.9,27
200106171150,200106171250,1,13,628,706,Brandenburg,Potsdam-Mittelmark,31.8,27.4,6,6,6.4,9,15,13,15.2,20
200106171150,200106171250,1,11,631,738,Brandenburg,Havelland,34.8,28.4,5,4,6.2,8,11,10,12.6,15
200106171150,200106171250,1,25,731,804,Brandenburg,Uckermark,51.5,32.5,14,12,13.9,17,28,25,27.4,31
200106171150,200106171250,1,11,597,818,Brandenburg,Prignitz,31.4,27.4,16,16,17.5,19,30,30,31.3,33
200106171050,200106171250,2,16,684,807,Brandenburg,Uckermark,42.8,33.2,12,12,12.1,13,24,24,24.6,26
200106171350,200106171450,1,11,763,680,Brandenburg,Spree-Neiße,31.4,27.6,5,5,5.3,6,12,11,12.3,13
200106171250,200106171450,2,48,724,753,Brandenburg,Märkisch-Oderland,76.4,47.7,12,11,12.6,16,22,19,21.9,26
200106171250,200106171450,2,18,708,835,Brandenburg,Uckermark,57.2,37.4,11,10,10.6,12,25,21,23.6,26
200106171450,200106171550,1,32,598,730,Brandenburg,Havelland,42.4,30.3,8,7,8.3,10,17,16,18.1,22
200106171450,200106171550,1,15,712,776,Brandenburg,Barnim,29.1,26.5,10,9,9.9,11,20,18,19.5,21
200106171450,200106171550,1,30,670,784,Brandenburg,Oberhavel,33.0,23.5,16,12,14.8,17,30,23,27.6,33
200106171250,200106171550,3,20,620,716,Brandenburg,Brandenburg an der Havel,53.9,38.0,5,4,4.8,6,12,11,11.9,13
200106171250,200106171550,3,14,615,729,Brandenburg,Potsdam-Mittelmark,49.2,39.5,8,8,8.1,9,18,18,18.9,20
200106171250,200106171550,3,92,607,741,Brandenburg,Havelland,80.1,46.4,7,6,7.5,11,15,13,15.7,22
