station,departure_plan_datetime,category,long,lat,arrival_delay_m,departure_delay_m,departure_plan_hour,date,hour,day_of_week,state,city,temperature,rained
Ahrensfelde,2024-06-23 13:00:00,4.0,13.565154,52.571375,0.0,0.5,13.0,2024-06-23,13,6,Berlin,Berlin,21.35,False
Ahrensfelde,2024-06-23 14:00:00,4.0,13.565154,52.571375,0.0,0.5,14.0,2024-06-23,14,6,Berlin,Berlin,22.0,False
Ahrensfelde,2024-06-23 15:00:00,4.0,13.565154,52.571375,0.0,0.5,15.0,2024-06-23,15,6,Berlin,Berlin,22.7,False
Ahrensfelde,2024-06-23 16:00:00,4.0,13.565154,52.571375,0.0,0.5,16.0,2024-06-23,16,6,Berlin,Berlin,21.95,False
Ahrensfelde,2024-06-23 17:00:00,4.0,13.565154,52.571375,0.0,0.5,17.0,2024-06-23,17,6,Berlin,Berlin,21.1,False
Ahrensfelde,2024-06-23 18:00:00,4.0,13.565154,52.571375,0.0,0.5,18.0,2024-06-23,18,6,Berlin,Berlin,20.1,False
Ahrensfelde,2024-06-23 19:00:00,4.0,13.565154,52.571375,0.0,0.5,19.0,2024-06-23,19,6,Berlin,Berlin,17.9,False
Ahrensfelde,2024-06-23 20:00:00,4.0,13.565154,52.571375,0.0,0.5,20.0,2024-06-23,20,6,Berlin,Berlin,15.95,False
Ahrensfelde,2024-06-23 21:00:00,4.0,13.565154,52.571375,0.0,0.5,21.0,2024-06-23,21,6,Berlin,Berlin,15.95,False
Ahrensfelde,2024-06-23 22:00:00,4.0,13.565154,52.571375,0.0,0.5,22.0,2024-06-23,22,6,Berlin,Berlin,15.2,False
Ahrensfelde,2024-06-24 04:00:00,4.0,13.565154,52.571375,0.0,0.0,4.0,2024-06-24,4,0,Berlin,Berlin,14.399999999999999,False
Ahrensfelde,2024-06-24 05:00:00,4.0,13.565154,52.571375,0.0,0.5,5.0,2024-06-24,5,0,Berlin,Berlin,16.549999999999997,False
Ahrensfelde,2024-06-24 06:00:00,4.0,13.565154,52.571375,0.0,0.5,6.0,2024-06-24,6,0,Berlin,Berlin,18.4,False
Ahrensfelde,2024-06-24 07:00:00,4.0,13.565154,52.571375,0.0,0.5,7.0,2024-06-24,7,0,Berlin,Berlin,20.049999999999997,False
Ahrensfelde,2024-06-24 08:00:00,4.0,13.565154,52.571375,0.0,0.5,8.0,2024-06-24,8,0,Berlin,Berlin,20.75,False
Ahrensfelde,2024-06-24 09:00:00,4.0,13.565154,52.571375,0.0,0.5,9.0,2024-06-24,9,0,Berlin,Berlin,20.8,False
Ahrensfelde,2024-06-24 10:00:00,4.0,13.565154,52.571375,0.0,0.5,10.0,2024-06-24,10,0,Berlin,Berlin,21.450000000000003,False
Ahrensfelde,2024-06-24 11:00:00,4.0,13.565154,52.571375,0.0,0.0,11.0,2024-06-24,11,0,Berlin,Berlin,23.0,False
Ahrensfelde,2024-06-24 12:00:00,4.0,13.565154,52.571375,0.0,0.5,12.0,2024-06-24,12,0,Berlin,Berlin,24.25,False
Ahrensfelde,2024-06-24 13:00:00,4.0,13.565154,52.571375,0.0,0.5,13.0,2024-06-24,13,0,Berlin,Berlin,24.950000000000003,False
Ahrensfelde,2024-06-24 14:00:00,4.0,13.565154,52.571375,4.0,4.0,14.0,2024-06-24,14,0,Berlin,Berlin,25.0,False
Ahrensfelde,2024-06-24 15:00:00,4.0,13.565154,52.571375,0.0,1.0,15.0,2024-06-24,15,0,Berlin,Berlin,24.299999999999997,False
Ahrensfelde,2024-06-24 19:00:00,4.0,13.565154,52.571375,0.0,0.5,19.0,2024-06-24,19,0,Berlin,Berlin,20.6,False
Ahrensfelde,2024-06-24 20:00:00,4.0,13.565154,52.571375,0.0,0.5,20.0,2024-06-24,20,0,Berlin,Berlin,18.3,False
Ahrensfelde,2024-06-24 21:00:00,4.0,13.565154,52.571375,4.0,4.5,21.0,2024-06-24,21,0,Berlin,Berlin,16.950000000000003,False
Ahrensfelde,2024-06-24 22:00:00,4.0,13.565154,52.571375,1.0,1.5,22.0,2024-06-24,22,0,Berlin,Berlin,15.850000000000001,False
Ahrensfelde,2024-06-25 04:00:00,4.0,13.565154,52.571375,0.0,0.0,4.0,2024-06-25,4,1,Berlin,Berlin,15.049999999999999,False
Ahrensfelde,2024-06-25 05:00:00,4.0,13.565154,52.571375,0.0,0.5,5.0,2024-06-25,5,1,Berlin,Berlin,18.2,False
Ahrensfelde,2024-06-25 06:00:00,4.0,13.565154,52.571375,0.0,0.5,6.0,2024-06-25,6,1,Berlin,Berlin,21.2,False
Ahrensfelde,2024-06-25 07:00:00,4.0,13.565154,52.571375,0.0,0.5,7.0,2024-06-25,7,1,Berlin,Berlin,23.1,False
Ahrensfelde,2024-06-25 08:00:00,4.0,13.565154,52.571375,0.0,0.5,8.0,2024-06-25,8,1,Berlin,Berlin,24.200000000000003,False
