station,state,city
Albrechtshof,Berlin,Berlin
Alexanderplatz,Berlin,Berlin
Altglienicke,Berlin,Berlin
Attilastraße,Berlin,Berlin
Babelsberg,Brandenburg,Potsdam
Baumschulenweg,Berlin,Berlin
Bellevue,Berlin,Berlin
Bad Belzig,Brandenburg,Belzig
Bergfelde (b Berlin),Brandenburg,Hohen Neuendorf
Berlin Anhalter Bahnhof,Berlin,Berlin
Berlin Frankfurter Allee,Berlin,Berlin
Berlin-Friedrichstraße,Berlin,Berlin
Berlin Gesundbrunnen,Berlin,Berlin
Greifswalder Straße,Berlin,Berlin
Berlin Ostbahnhof,Berlin,Berlin
Berlin-Nordbahnhof,Berlin,Berlin
Berlin Zoologischer Garten,Berlin,Berlin
Berlin-Adlershof,Berlin,Berlin
Berlin-Blankenburg,Berlin,Berlin
Berlin-Buch,Berlin,Berlin
Berlin-Charlottenburg,Berlin,Berlin
Berlin-Friedrichshagen,Berlin,Berlin
Berlin-Frohnau,Berlin,Berlin
Berlin-Grünau,Berlin,Berlin
Berlin-Grunewald,Berlin,Berlin
Berlin-Halensee,Berlin,Berlin
Berlin-Hermsdorf,Berlin,Berlin
Berlin-Karlshorst,Berlin,Berlin
Berlin-Karow,Berlin,Berlin
Berlin-Kaulsdorf,Berlin,Berlin
Berlin-Lichterfelde West,Berlin,Berlin
Berlin-Marienfelde,Berlin,Berlin
Berlin-Marzahn,Berlin,Berlin
Berlin-Neukölln,Berlin,Berlin
Berlin-Pankow,Berlin,Berlin
Berlin-Rummelsburg,Berlin,Berlin
Berlin-Schlachtensee,Berlin,Berlin
Schöneberg,Berlin,Berlin
Berlin-Schönholz,Berlin,Berlin
Berlin-Spandau,Berlin,Berlin
Berlin-Spindlersfeld,Berlin,Berlin
Berlin-Tempelhof,Berlin,Berlin
Berlin-Wannsee,Berlin,Berlin
Berlin-Wilhelmsruh,Berlin,Berlin
Berlin-Zehlendorf,Berlin,Berlin
Bernau (b Berlin),Brandenburg,Bernau bei Berlin
Betriebsbahnhof Berlin-Rummelsburg,Berlin,Berlin
Johannisthal,Berlin,Berlin
Biesdorf,Berlin,Berlin
Birkenstein,Brandenburg,Hoppegarten
Birkenwerder (b Berlin),Brandenburg,Birkenwerder
Blankenfelde (Kr Teltow-Fläming),Brandenburg,Blankenfelde 
Borgsdorf,Brandenburg,Hohen Neuendorf OTBorgsdo
Bornholmer Straße,Berlin,Berlin
Botanischer Garten,Berlin,Berlin
Brandenburg Hbf,Brandenburg,Brandenburg an der Havel
Buckower Chaussee,Berlin,Berlin
Bundesplatz,Berlin,Berlin
Calau (Niederlausitz),Brandenburg,Calau 
Berlin Hauptbahnhof,Berlin,Berlin
Cottbus Hbf,Brandenburg,Cottbus
Dabendorf,Brandenburg,Zossen
Doberlug-Kirchhain,Brandenburg,Doberlug-Kirchhain
Eichwalde,Brandenburg,Eichwalde
Eisenhüttenstadt,Brandenburg,Eisenhüttenstadt
Erkner,Brandenburg,Erkner
Falkenberg (Elster),Brandenburg,Falkenberg (Elster)
Falkensee,Brandenburg,Falkensee
Feuerbachstraße,Berlin,Berlin
Finsterwalde (Niederlausitz),Brandenburg,Finsterwalde 
Schönefeld (bei Berlin),Brandenburg,Schönefeld
Frankfurt (Oder),Brandenburg,Frankfurt (Oder)
Fredersdorf (b Berlin),Brandenburg,Fredersdorf 
Friedenau,Berlin,Berlin
Friedrichsfelde Ost,Berlin,Berlin
Fürstenwalde (Spree),Brandenburg,Fürstenwalde (Spree)
Grünbergallee,Berlin,Berlin
Guben,Brandenburg,Guben
Hackescher Markt,Berlin,Berlin
Heidelberger Platz,Berlin,Berlin
Hermannstraße,Berlin,Berlin
Hirschgarten,Berlin,Berlin
Hohen Neuendorf (b Berlin),Brandenburg,Hohen Neuendorf
Hohenzollerndamm,Berlin,Berlin
Teltow Stadt,Brandenburg,Teltow
Hoppegarten (Mark),Brandenburg,Hoppegarten
Humboldthain,Berlin,Berlin
Innsbrucker Platz,Berlin,Berlin
Jannowitzbrücke,Berlin,Berlin
Jungfernheide,Berlin,Berlin
Köllnische Heide,Berlin,Berlin
Königs Wusterhausen,Brandenburg,Königs Wusterhausen
Landsberger Allee,Berlin,Berlin
Lehnitz,Brandenburg,Oranienburg
Lichtenrade,Berlin,Berlin
Lübben (Spreewald),Brandenburg,Lübben
Lübbenau (Spreewald),Brandenburg,Lübbenau 
Luckenwalde,Brandenburg,Luckenwalde
Ludwigsfelde,Brandenburg,Ludwigsfelde
Mahlow,Brandenburg,Mahlow
Mehrower Allee,Berlin,Berlin
Mexikoplatz,Berlin,Berlin
Michendorf,Brandenburg,Michendorf
Nauen,Brandenburg,Nauen
Neupetershain,Brandenburg,Neupetershain
Neustadt (Dosse),Brandenburg,Neustadt (Dosse)
Nikolassee,Berlin,Berlin
Nöldnerplatz,Berlin,Berlin
Oranienburg,Brandenburg,Oranienburg
Oranienburger Straße,Berlin,Berlin
Berlin Ostkreuz,Berlin,Berlin
Pankow-Heinersdorf,Berlin,Berlin
Berlin Südkreuz,Berlin,Berlin
Plänterwald,Berlin,Berlin
Poelchaustraße,Berlin,Berlin
Potsdam Charlottenhof,Brandenburg,Potsdam
Potsdam Hbf,Brandenburg,Potsdam
Potsdam Medienstadt Babelsberg,Brandenburg,Potsdam
Potsdam Park Sanssouci,Brandenburg,Potsdam
Berlin Potsdamer Platz,Berlin,Berlin
Prenzlau,Brandenburg,Prenzlau
Prenzlauer Allee,Berlin,Berlin
Priesterweg,Berlin,Berlin
Rahnsdorf,Berlin,Berlin
Rangsdorf,Brandenburg,Rangsdorf
Raoul-Wallenberg-Straße,Berlin,Berlin
Rathaus Steglitz,Berlin,Berlin
Rathenow,Brandenburg,Rathenow
Röntgental,Brandenburg,Panketal
Savignyplatz,Berlin,Berlin
Schichauweg,Berlin,Berlin
Schönhauser Allee,Berlin,Berlin
Seddin,Brandenburg,Seddin
Sedlitz Ost,Brandenburg,Senftenberg
Springpfuhl,Berlin,Berlin
Storkower Straße,Berlin,Berlin
Strausberg Nord,Brandenburg,Strausberg
