station,departure_plan_datetime,category,long,lat,arrival_delay_m,departure_delay_m,departure_plan_hour,date,hour,day_of_week,state,city,temperature,rained
Birkenwerder (b Berlin),2024-06-27 13:00:00,4.000000,13.288772,52.688249,0.272727,0.272727,13.000000,2024-06-27,13,3,Brandenburg,Birkenwerder,29.000000,False
Oranienburger Straße,2024-06-25 20:00:00,4.000000,13.393052,52.525210,0.513514,0.459459,20.000000,2024-06-25,20,1,Berlin,Berlin,21.100000,False
Biesdorf,2024-06-26 13:00:00,4.000000,13.555878,52.513097,0.166667,0.333333,13.000000,2024-06-26,13,2,Berlin,Berlin,29.050000,False
Landsberger Allee,2024-06-24 11:00:00,4.000000,13.454567,52.529593,0.133333,0.166667,11.000000,2024-06-24,11,0,Berlin,Berlin,22.050000,False
Senftenberg,2024-06-27 08:00:00,5.000000,14.003905,51.526941,1.000000,2.250000,8.000000,2024-06-27,8,3,Brandenburg,Senftenberg,21.850000,True
Rathenow,2024-06-26 11:00:00,4.000000,12.354840,52.599640,0.000000,2.000000,11.000000,2024-06-26,11,2,Brandenburg,Rathenow,28.150000,False
Berlin-Charlottenburg,2024-06-24 21:00:00,3.000000,13.302330,52.504213,0.875000,1.000000,21.000000,2024-06-24,21,0,Berlin,Berlin,16.500000,False
Schulzendorf (b Tegel),2024-06-24 11:00:00,5.000000,13.245929,52.613096,0.500000,0.500000,11.000000,2024-06-24,11,0,Berlin,Berlin,21.850000,False
Prenzlau,2024-06-27 04:00:00,4.000000,13.866532,53.321608,0.000000,0.000000,4.000000,2024-06-27,4,3,Brandenburg,Prenzlau,20.100000,False
Alexanderplatz,2024-06-23 13:00:00,3.000000,13.410961,52.521481,0.181818,0.181818,13.000000,2024-06-23,13,6,Berlin,Berlin,22.000000,False
Landsberger Allee,2024-06-25 04:00:00,4.000000,13.454567,52.529593,0.250000,0.250000,4.000000,2024-06-25,4,1,Berlin,Berlin,15.650000,False
Sedlitz Ost,2024-06-26 19:00:00,5.000000,14.055252,51.553101,0.500000,0.666667,19.000000,2024-06-26,19,2,Brandenburg,Senftenberg,20.800000,False
Westhafen,2024-06-26 15:00:00,4.000000,13.344253,52.536250,0.200000,0.120000,15.000000,2024-06-26,15,2,Berlin,Berlin,31.200000,False
Westhafen,2024-06-26 21:00:00,4.000000,13.344253,52.536250,0.352941,0.176471,21.000000,2024-06-26,21,2,Berlin,Berlin,24.250000,False
Oranienburg,2024-06-25 05:00:00,3.000000,13.249613,52.753653,0.111111,0.111111,5.000000,2024-06-25,5,1,Brandenburg,Oranienburg,18.200000,False
Wildau,2024-06-26 20:00:00,5.000000,13.633779,52.319935,1.000000,1.000000,20.000000,2024-06-26,20,2,Brandenburg,Wildau,24.350000,False
Sonnenallee,2024-06-26 01:00:00,4.000000,13.455851,52.473101,0.166667,0.250000,1.000000,2024-06-26,1,2,Berlin,Berlin,18.150000,False
Potsdam Charlottenhof,2024-06-23 20:00:00,4.000000,13.036496,52.392800,0.000000,0.000000,20.000000,2024-06-23,20,6,Brandenburg,Potsdam,17.600000,False
Berlin Ostbahnhof,2024-06-26 16:00:00,1.000000,13.434681,52.510488,1.100000,1.000000,16.000000,2024-06-26,16,2,Berlin,Berlin,30.300000,False
Waßmannsdorf,2024-06-26 22:00:00,5.000000,13.463530,52.368420,0.333333,0.583333,22.000000,2024-06-26,22,2,Brandenburg,Waßmannsdorf,22.700000,False
Bad Belzig,2024-06-25 17:00:00,5.000000,12.594981,52.135969,0.333333,1.000000,17.000000,2024-06-25,17,1,Brandenburg,Belzig,24.500000,False
Neupetershain,2024-06-26 16:00:00,5.000000,14.161703,51.606324,1.000000,0.500000,16.000000,2024-06-26,16,2,Brandenburg,Neupetershain,26.450000,False
Sedlitz Ost,2024-06-23 21:00:00,5.000000,14.055252,51.553101,0.750000,1.250000,21.000000,2024-06-23,21,6,Brandenburg,Senftenberg,13.450000,False
Berlin-Lichtenberg,2024-06-25 12:00:00,2.000000,13.496693,52.510135,0.375000,0.875000,12.000000,2024-06-25,12,1,Berlin,Berlin,24.650000,False
Schönefeld (bei Berlin),2024-06-24 01:00:00,3.000000,13.512710,52.391062,1.625000,1.750000,1.000000,2024-06-24,1,0,Brandenburg,Schönefeld,12.900000,False
Fredersdorf (b Berlin),2024-06-27 11:00:00,5.000000,13.760628,52.526212,0.000000,0.000000,11.000000,2024-06-27,11,3,Brandenburg,Fredersdorf ,28.700000,False
Bergfelde (b Berlin),2024-06-24 15:00:00,4.000000,13.320244,52.670303,0.000000,0.000000,15.000000,2024-06-24,15,0,Brandenburg,Hohen Neuendorf,24.300000,False
Rangsdorf,2024-06-26 12:00:00,5.000000,13.430890,52.293948,0.000000,0.000000,12.000000,2024-06-26,12,2,Brandenburg,Rangsdorf,29.050000,False
Wuhlheide,2024-06-26 19:00:00,5.000000,13.553202,52.469030,1.583333,1.416667,19.000000,2024-06-26,19,2,Berlin,Berlin,24.250000,False
